3	.052978862	-1	1	12
5	.005839635	-3.181466751608444	1	126.75621513763588
9	608019e-9	-3.263689885550256	1	686.5121171873652
17	103366e-9	-2.556354686693511	1	2985.1277971172317
33	376667e-9	1.8655279230364283	1	12199.670214084103
65	.00100421	1.41469944801751	1	49063.29824024925
129	.003420785	1.7682664353696125	1	196519.20476280028
257	.015584977	2.187756688724343	1	786343.1813630231
513	.056964077	1.8698963798711927	1	3145639.1755111753
1025	.384851692	2.7561782792772687	1	12582823.174048094
2049	2.571712905	2.7403551001297415	1	50331559.1736823
4097	17.79202637	2.79042933094922	1	201326503.17359084
8193	135.134306155	2.9250912374316145	1	805306279.1735678
16385	964.350997582	2.8351643698933517	1	3221225383.1735625
