3	.095681749	-1	1	4
5	.001050396	-6.509238528744535	1	13.65685424949238
9	58218e-9	-4.173324238728304	1	30.782072520180588
17	87041e-9	.58022985308273	.6148710270966262	63.385128972903374
33	13537e-8	.6371410150275845	.30817749297939656	127.6918225070206
65	364858e-9	1.430427035412342	.1541816057378469	255.84581839426207
129	.001260292	1.788351041601939	.07710241377177243	511.92289758622826
257	.010706205	3.0866172434757497	.03855265835815744	1023.961447341642
513	.018752735	.8086538389490113	.019276510616515804	2047.9807234893835
1025	.080113257	2.0949399756327605	.009638277988454303	4095.990361722012
2049	.317823828	1.9881143888582127	.004819141829069237	8191.995180858171
4097	1.449961111	2.189715010545611	.002409571270063949	16383.997590428731
8193	7.733154229	2.415042779612464	.001204785678591581	32767.99879521432
16385	50.59098863	2.7097515406570434	.0006023928456276965	65535.99939760716
